,fighter,first_name,last_name,middle_name,webpage
8942,Rodrigo de Lima,Rodrigo,Lima,de,https://www.ufc.com/athlete/Rodrigo-Lima
9064,Humberto Brown Morrison,Humberto,Morrison,Brown,https://www.ufc.com/athlete/Humberto-Morrison
9073,Rodolfo Rubio Perez,Rodolfo,Perez,Rubio,https://www.ufc.com/athlete/Rodolfo-Perez
9904,Shane del Rosario,Shane,Rosario,del,https://www.ufc.com/athlete/Shane-Rosario
10079,Carlos Eduardo Rocha,Carlos,Rocha,Eduardo,https://www.ufc.com/athlete/Carlos-Rocha
10200,Jon Olav Einemo,Jon,Einemo,Olav,https://www.ufc.com/athlete/Jon-Einemo
11247,Edilberto de Oliveira,Edilberto,Oliveira,de,https://www.ufc.com/athlete/Edilberto-Oliveira
11840,Flavio Luiz Moura,Flavio,Moura,Luiz,https://www.ufc.com/athlete/Flavio-Moura
11998,Ron van Clief,Ron,Clief,van,https://www.ufc.com/athlete/Ron-Clief
12004,Felix Lee Mitchell,Felix,Mitchell,Lee,https://www.ufc.com/athlete/Felix-Mitchell
12019,Alberta Cerra Leon,Alberta,Leon,Cerra,https://www.ufc.com/athlete/Alberta-Leon
